At_gene	NAME	GWEIGHT	s1	s3	s5	r1	r3	r5
AT2G14960	Probable indole-3-acetic acid-amido synthetase GH3.1	1.000000	-1.105098	-0.738812	-2.486584	1.352097	2.417357	0.728608
AT5G39580	Peroxidase 62	1.000000	1.860908	1.678697	-0.148541	3.759083	4.760372	3.316702
AT2G32670	Vesicle-associated membrane protein 725	1.000000	1.048365	0.114269	-0.111316	1.788623	2.479159	1.505281
AT1G49330	F13F21.24 protein	1.000000	2.830268	1.408197	1.127347	4.266040	5.542171	3.230604
AT5G11930	Glutaredoxin-C10	1.000000	1.065712	1.105800	-0.007233	2.669588	4.389136	1.534727
AT2G44670	At2g44670/F16B22.16	1.000000	0.600762	-0.127863	-0.706616	2.224101	4.188671	1.481042
AT5G02230	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	1.000000	0.448360	0.239366	-0.393692	1.744691	2.973713	1.046765
AT3G53530	Chloroplast-targeted copper chaperone protein	1.000000	-1.088292	-1.277969	-1.777994	0.032374	1.222027	-0.181412
AT2G15760	At2g15760	1.000000	1.439165	0.765674	0.501458	2.457673	3.539301	1.360418
AT2G28305	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	1.000000	-1.007373	-0.416176	-1.180374	1.203315	3.551524	1.230650
AT5G07280	Leucine-rich repeat receptor protein kinase EMS1	1.000000	-1.041301	-0.524135	-1.073333	0.085978	1.959552	0.451984
AT4G36030	ARO3	1.000000	0.677023	0.623253	0.578836	1.152507	1.790605	1.259813
AT1G34245	EPF2	1.000000	-1.172440	-0.826801	-1.685804	0.385315	1.813289	-0.162775
AT3G54880	At3g54880	1.000000	-0.253270	0.210205	-0.334306	1.282436	2.239018	1.017616
AT5G03720	HSFA3	1.000000	-0.235435	0.321191	-0.600897	1.373063	2.324631	1.060024
AT1G70260	WAT1-related protein At1g70260	1.000000	-1.807635	-2.017326	-3.975761	-2.035126	-1.132379	-0.534099
AT1G76100	plastocyanin 1	1.000000	-0.049338	0.411711	-1.291969	0.398909	1.183303	1.380055
AT4G26790	GDSL esterase/lipase At4g26790	1.000000	-1.961300	0.410515	-2.681122	-0.111178	0.846849	1.332224
AT3G06120	Transcription factor MUTE	1.000000	-1.246731	0.413657	-1.420467	0.066581	0.579069	1.260368
AT2G44160	Methylenetetrahydrofolate reductase 2	1.000000	-1.429841	0.402447	-1.598515	0.120478	0.499939	1.186661
AT4G27360	Dynein light chain type 1 family protein	1.000000	-2.668861	-0.538202	-3.485384	-0.626204	1.338313	1.218056
AT4G00180	Axial regulator YABBY 3	1.000000	-0.797021	0.158177	-1.494909	0.018992	1.303972	1.170281
AT5G20330	Probable glucan endo-1,3-beta-glucosidase BG4	1.000000	-1.757680	0.900607	-2.904280	0.564333	2.246038	3.187248
AT3G01440	Photosynthetic NDH subunit of lumenal location 3, chloroplastic	1.000000	-1.812152	-0.118400	-2.566358	-0.784107	0.735302	1.206029
AT3G06880	Transducin/WD40 repeat-like superfamily protein	1.000000	-1.465457	-0.005888	-2.433286	-1.199510	0.730303	0.440875
AT5G18020	Auxin-responsive protein SAUR20	1.000000	-1.464430	0.041343	-2.726052	-1.060586	1.173273	0.950279
AT5G06930	Putative uncharacterized protein At5g06930	1.000000	-1.116847	0.468396	-2.102160	-0.577855	1.618949	1.563888
AT2G38995	O-acyltransferase (WSD1-like) family protein	1.000000	-1.374966	-0.385243	-1.783915	-1.032037	0.632865	1.175007
AT1G79770	Putative uncharacterized protein F19K16.25	1.000000	-1.517421	-0.270569	-2.454194	-1.174203	0.683771	1.270850
AT2G43870	Polygalacturonase/pectinase	1.000000	-1.072890	-0.224269	-1.480520	-1.025997	0.768707	0.706604
AT1G13820	Alpha/beta-Hydrolases superfamily protein	1.000000	-1.787486	-0.009514	-1.819437	-1.221515	1.235306	1.305326
AT5G07200	Gibberellin 20 oxidase 3	1.000000	-1.143739	-0.105440	-3.280640	-1.209347	-0.325397	1.306362
AT1G74880	NAD(P)H-quinone oxidoreductase subunit O, chloroplastic	1.000000	-1.297473	-0.173535	-2.325713	-0.847178	-0.401735	1.131731
AT3G12700	Chloroplast nucleoid DNA binding protein-like	1.000000	-1.429617	-0.245347	-2.493729	-1.618213	-0.049604	0.929840
AT5G54010	UDP-glycosyltransferase 79B6	1.000000	-1.857600	0.201779	-2.493256	-1.602656	0.461653	1.639095
AT1G33811	GDSL esterase/lipase At1g33811	1.000000	-1.741796	0.427036	-3.844778	-1.573607	0.317539	1.935179
ATCG00020	Photosystem II protein D1	1.000000	-0.533973	2.074879	-2.123294	0.068096	1.701922	3.444933
AT3G05727	Defensin-like protein 204	1.000000	-1.088708	0.174179	-3.573414	-1.207510	1.184823	2.184767
AT2G43560	Peptidyl-prolyl cis-trans isomerase FKBP16-3, chloroplastic	1.000000	-1.193915	0.125231	-1.644160	-0.476773	0.344717	1.454561
AT3G62730	AT3g62730/F26K9_160	1.000000	-0.922328	0.346582	-1.488980	0.044547	1.002999	2.374361
AT1G53230	TCP3	1.000000	-1.490873	-0.971380	-2.117186	-1.060593	-0.514777	0.003294
AT4G30270	Xyloglucan endotransglucosylase/hydrolase protein 24	1.000000	0.240475	1.090823	0.067498	1.788892	2.329473	2.456272
AT3G29030	EXPA5	1.000000	-0.915192	0.502125	-2.041946	2.047306	2.328863	3.087371
AT1G75360	Putative uncharacterized protein	1.000000	-1.212530	0.576929	-2.391288	1.569663	2.737014	3.390999
AT5G55370	Probable long-chain-alcohol O-fatty-acyltransferase 2	1.000000	-0.676842	-0.051972	-1.645261	0.651394	1.978703	2.878871
AT4G22755	SMO1-3	1.000000	-1.040536	-0.679290	-2.276700	0.096701	0.557044	1.615452
AT5G18080	Auxin-responsive protein SAUR24	1.000000	-1.123085	-0.874512	-2.655405	0.078014	0.536210	1.165345
AT5G20240	Floral homeotic protein PISTILLATA	1.000000	-0.957417	-0.038803	-1.443298	1.233511	1.349969	2.458656
AT5G13370	At5g13370	1.000000	-2.039848	-1.213457	-2.246699	0.101080	0.552065	1.890420
AT1G08810	MYB60	1.000000	-0.120992	0.002253	-0.717315	2.125820	2.451396	3.489845
AT3G44350	NAC domain containing protein 61	1.000000	-0.213729	0.072461	-0.288181	1.143791	1.434072	1.757737
AT1G32780	Alcohol dehydrogenase-like 3	1.000000	-1.275575	-0.075808	-1.252963	0.939253	2.362024	1.999396
AT5G14400	cytochrome P450, family 724, subfamily A, polypeptide 1	1.000000	0.217833	0.608743	0.337923	1.360544	1.909639	2.004676
AT1G30100	Probable 9-cis-epoxycarotenoid dioxygenase NCED5, chloroplastic	1.000000	-1.046810	0.134516	-0.958055	1.835377	3.090861	3.312800
AT1G62540	flavin-monooxygenase glucosinolate S-oxygenase 2	1.000000	-0.656087	-0.132556	-0.867242	1.092459	2.089652	2.500141
AT1G17540	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	1.000000	0.968619	0.611700	0.205555	1.961272	1.941363	2.806463
AT1G47990	Gibberellin 2-beta-dioxygenase 4	1.000000	-0.705206	-0.538920	-2.239506	1.185254	0.555826	1.881157
AT1G16820	V-ATPase-related protein	1.000000	1.043978	1.263718	0.381469	2.243010	1.926323	2.466809
AT5G05365	Heavy metal transport/detoxification superfamily protein	1.000000	0.433704	0.617781	-0.138845	1.630921	1.480870	2.062661
AT1G33720	Cytochrome P450, family 76, subfamily C, polypeptide 6	1.000000	-1.013548	0.183946	-0.686565	0.693915	2.703294	2.273112
AT2G45550	Cytochrome P450 76C4	1.000000	-1.263876	-0.272164	-1.561871	-0.188227	1.533406	1.341677
AT4G38420	Sks9	1.000000	-0.765243	0.367738	-1.510509	0.561661	4.445796	3.942798
AT2G30630	Histone H1flk-like protein	1.000000	-0.480004	-1.214877	-2.304899	0.496400	2.659347	2.508737
AT3G04890	Adenine phosphoribosyltransferase-like protein, putative (DUF2358)	1.000000	-1.538082	-1.878742	-1.924321	-0.652548	0.563621	0.450929
AT2G46720	3-ketoacyl-CoA synthase 13	1.000000	-0.694211	-0.815830	-2.224897	-0.099218	2.304391	1.387984
AT3G53150	UDP-glucosyl transferase 73D1	1.000000	0.980211	1.089619	0.312915	1.692591	3.566458	2.701859
AT1G50745	Plant mobile domain protein	1.000000	-0.350319	-0.393485	-2.174499	-0.083750	2.488786	2.358664
AT4G15800	Protein RALF-like 33	1.000000	-0.536007	0.373924	-1.166586	1.031615	2.145719	1.057791
AT5G21920	YlmG homolog protein 2, chloroplastic	1.000000	-1.030377	0.202207	-1.497683	0.385561	1.451400	0.921611
AT2G40490	Uroporphyrinogen decarboxylase 2, chloroplastic	1.000000	-1.120434	0.152975	-1.776314	0.522860	1.443404	0.576482
AT3G19620	Probable beta-D-xylosidase 5	1.000000	-0.282899	1.556539	-0.924219	1.985544	3.547163	2.230572
AT1G53890	Protein of unknown function (DUF567)	1.000000	-1.489625	0.557449	-2.815279	0.755719	2.645416	1.245457
AT5G62730	Protein NRT1/ PTR FAMILY 4.7	1.000000	-1.071603	-0.548156	-2.061895	0.572087	1.598107	1.130969
AT4G24810	Protein kinase family protein	1.000000	-1.487512	-0.163232	-1.814031	0.372449	1.640204	1.100072
AT5G53490	Tetratricopeptide repeat (TPR)-like superfamily protein	1.000000	-1.036066	0.011995	-1.642358	0.730315	2.279267	1.408043
AT1G30520	2-succinylbenzoate--CoA ligase, chloroplastic/peroxisomal	1.000000	-0.824540	-0.080132	-1.114909	0.851155	2.175489	1.102701
AT2G46640	unknown protein; Has 19 Blast hits to 19 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 17; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).	1.000000	-1.248589	0.135432	-1.631333	0.005536	2.381654	0.992995
AT4G31805	Protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION	1.000000	-1.414772	-0.060322	-1.279999	-0.312874	1.169050	0.601680
AT5G12180	CPK17	1.000000	-0.565191	0.826476	0.311596	1.142766	1.469858	1.926605
AT3G50560	AT3g50560/T20E23_160	1.000000	-2.118554	0.634974	-1.481045	0.811583	2.030322	2.565701
AT3G21870	Cyclin-U1-1	1.000000	-1.954052	0.136629	-1.692834	0.533641	0.051126	2.196002
AT4G33450	MYB69	1.000000	-0.388174	1.079681	-0.107317	1.184384	1.008301	1.878015
AT5G42760	Leucine carboxyl methyltransferase	1.000000	-3.043259	-0.326333	-3.260201	0.060100	-0.143396	1.272814
AT1G67900	BTB/POZ domain-containing protein At1g67900	1.000000	-1.541087	-0.043972	-1.032364	0.535292	0.291981	1.089604
AT5G57710	Protein SUPPRESSOR OF MAX2 1	1.000000	-0.488227	0.715574	-0.301170	1.169689	1.012538	1.004479
AT1G77210	Sugar transport protein 14	1.000000	-0.574863	0.900360	-0.474739	1.435408	1.307605	1.387982
AT1G28650	GDSL esterase/lipase At1g28650	1.000000	-1.498045	0.379838	-1.277854	1.184807	0.848849	1.067444
AT1G21830	At1g21820	1.000000	-1.446913	0.522651	-0.887305	1.108077	0.761206	1.241935
AT1G34360	Translation initiation factor IF3-1, mitochondrial	1.000000	-3.023930	-1.080451	-2.812257	0.108854	-0.260638	0.441133
AT3G28910	Transcription factor MYB30	1.000000	-1.333419	0.372151	-1.331430	1.523675	0.239741	0.915591
AT5G42680	At5g42680	1.000000	-1.438947	0.422684	-1.455479	1.188481	0.529386	0.686053
ATMG01130	Uncharacterized mitochondrial protein AtMg01130	1.000000	0.128936	1.977861	-0.151416	2.291584	1.604790	2.349599
AT5G55150	Putative F-box protein At5g55150	1.000000	-0.175001	2.405546	0.503713	2.059295	2.851105	0.009825
AT4G04570	Cysteine-rich receptor-like protein kinase 40	1.000000	0.729398	1.556506	1.121669	1.458582	1.667233	0.874520
AT5G59720	18.1 kDa class I heat shock protein	1.000000	-0.078241	2.468380	0.771058	1.931080	3.850366	-0.529936
AT2G36690	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.000000	0.125302	2.930450	0.000930	2.534812	4.814428	-0.547768
AT3G14260	Protein LURP-one-related 11	1.000000	0.324181	1.695132	0.633155	2.108078	2.439556	-0.388503
AT2G27830	Expressed protein	1.000000	0.866579	1.873635	1.588200	2.090680	2.338486	0.457278
AT2G04050	Protein DETOXIFICATION 3	1.000000	1.056454	3.761313	1.375589	4.786795	6.167921	0.889904
AT3G58190	LBD29	1.000000	-0.475949	1.202837	-0.115706	2.464693	3.850222	-0.001402
AT5G66580	Putative uncharacterized protein	1.000000	-1.390077	-1.018265	-1.492336	-0.088522	0.152765	-1.737566
AT5G48570	Peptidyl-prolyl cis-trans isomerase FKBP65	1.000000	-0.090616	1.458000	-0.654233	2.956603	3.254924	-0.608393
AT5G40590	At5g40590	1.000000	-0.328746	0.877524	-0.077590	1.727799	3.368111	-1.220806
AT3G16530	Lectin-like protein At3g16530	1.000000	3.639178	4.660972	2.788653	5.262667	5.534605	2.331788
AT2G04040	Protein DETOXIFICATION	1.000000	3.331048	4.055976	1.561847	5.849008	6.019499	1.173901
AT1G10880	Putative uncharacterized protein At1g10880	1.000000	3.997626	4.808570	3.704530	6.550263	6.279104	2.455583
AT5G18170	Glutamate dehydrogenase	1.000000	0.035439	1.256707	0.839729	2.612652	2.189403	-0.504029
AT5G01900	Probable WRKY transcription factor 62	1.000000	2.337243	3.056827	2.715584	4.565034	4.692166	0.833059
AT3G50470	RPW8-like protein 3	1.000000	-0.710671	0.639920	0.493740	2.345524	2.841860	-1.633364
AT2G40340	Integrase-type DNA-binding superfamily protein	1.000000	2.481238	3.238707	3.156673	6.008687	5.360766	1.798991
AT5G01320	Pyruvate decarboxylase 4	1.000000	-0.466124	1.278255	0.477306	7.711768	7.271983	-2.406809
AT3G55290	NAD(P)-binding Rossmann-fold superfamily protein	1.000000	-1.505283	0.407106	-1.222554	1.597865	0.947826	-0.548713
AT5G56850	unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - /.../(source: NCBI BLink).	1.000000	-1.430958	-0.083599	-1.634065	0.572048	0.102645	-1.189766
AT1G03475	Coproporphyrinogen-III oxidase 1, chloroplastic	1.000000	-1.245841	0.480256	-1.238315	1.333398	0.512958	-0.809181
AT1G47960	Cell wall / vacuolar inhibitor of fructosidase 1	1.000000	-0.190511	1.218070	0.435545	1.927767	1.414767	0.404200
AT3G53200	Transcription factor MYB27	1.000000	-0.357559	1.541727	-0.875433	2.736385	1.701716	-1.111128
AT1G76110	High mobility group B protein 9	1.000000	-1.448937	-0.001050	-1.039734	1.181686	0.299821	-1.969590
AT5G61050	Histone deacetylase-like protein	1.000000	-1.085615	-0.579095	-1.877631	0.467430	0.082374	-1.582779
AT1G05420	ovate family protein 12	1.000000	-2.156443	-0.338260	-2.628285	3.107656	1.898503	-2.341720
AT5G59080	Emb|CAB82975.1	1.000000	-2.142557	1.093352	-1.420192	1.371866	2.153500	0.098257
AT2G20800	External alternative NAD(P)H-ubiquinone oxidoreductase B4, mitochondrial	1.000000	-0.346628	3.654090	1.446517	3.322163	4.414933	2.275083
AT1G70290	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8	1.000000	-1.673577	1.003522	-0.872194	0.486057	1.183234	-0.081775
AT4G29590	Methyltransferase	1.000000	-1.902871	0.447338	-1.289467	0.229929	1.359561	-0.677978
AT5G45280	Pectin acetylesterase 11	1.000000	-0.572861	1.661273	-0.001834	1.937590	2.924395	0.420776
AT1G01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain	1.000000	-0.271328	1.972625	-0.062502	1.969380	2.873956	0.346108
AT1G70760	NAD(P)H-quinone oxidoreductase subunit L, chloroplastic	1.000000	-1.405393	0.170304	-1.437995	-0.018373	1.554045	-0.428889
AT1G11260	STP1	1.000000	-0.446742	1.204859	-0.022455	1.159301	2.648205	0.800062
AT2G05160	Zinc finger CCCH domain-containing protein 18	1.000000	-4.010194	0.745688	-2.410296	-0.522317	2.989304	-0.561799
AT5G40650	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial	1.000000	-1.479872	0.278499	-1.128088	0.090467	1.080532	-0.186360
AT3G12780	Phosphoglycerate kinase	1.000000	-1.393734	0.587610	-1.709468	0.614909	1.190262	0.362249
AT4G04640	ATP synthase gamma chain 1, chloroplastic	1.000000	-1.450336	0.457606	-1.818273	0.865006	1.674626	0.574157
AT5G22520	At5g22520	1.000000	1.687785	3.241662	1.579148	3.063556	3.297449	2.972983
AT2G29220	Probable inactive L-type lectin-domain containing receptor kinase III.1	1.000000	-0.292563	1.059720	-0.032585	1.076889	1.028883	0.674725
AT3G13730	3-epi-6-deoxocathasterone 23-monooxygenase	1.000000	-2.138483	1.054675	-1.157801	0.805627	0.875617	1.150321
AT2G36190	Beta-fructofuranosidase, insoluble isoenzyme CWINV4	1.000000	-3.805178	1.079399	-2.558358	-0.660210	0.528877	-0.168187
AT2G26710	CYP734A1	1.000000	-1.851369	1.329833	-1.546876	0.316394	1.101729	0.197744
AT5G47040	Lon protease homolog 2, peroxisomal	1.000000	-1.728759	0.646687	-1.102982	0.120577	1.313298	0.415772
AT1G06260	Cysteine proteinases superfamily protein	1.000000	-3.197169	0.794987	-1.992563	0.137100	1.747914	0.387548
AT4G25960	ABC transporter B family member 2	1.000000	-1.880991	1.099193	-2.500039	0.419629	0.393801	-1.148629
AT3G16250	Photosynthetic NDH subunit of subcomplex B 3, chloroplastic	1.000000	-1.532472	0.017110	-2.156991	-0.590359	-0.378734	-1.330680
AT5G27870	Putative pectinesterase/pectinesterase inhibitor 28	1.000000	-1.128479	2.528557	-1.647351	0.768212	1.275137	-0.400302
AT3G20395	Putative uncharacterized protein	1.000000	-3.015426	0.726816	-2.847206	0.115541	-0.738660	-1.490931
AT4G30250	P-loop containing nucleoside triphosphate hydrolases superfamily protein	1.000000	-2.444153	0.289583	-2.734537	-0.601393	-0.416899	-1.297233
AT3G47430	Peroxisomal membrane protein 11B	1.000000	-2.192031	0.077049	-2.444075	-0.789159	-0.810663	-1.069925
AT2G23690	Putative uncharacterized protein At2g23690	1.000000	-2.567004	0.028582	-2.559212	-0.345634	-0.496486	-1.081580
AT1G06080	Delta-9 acyl-lipid desaturase 1	1.000000	-1.968027	1.376914	-3.103701	0.474564	-0.200532	-0.504960
AT3G09280	F3L24.15 protein	1.000000	-1.753500	1.815377	-2.207582	1.371850	2.020818	-1.394127
AT3G52840	Beta-galactosidase 2	1.000000	-1.417512	0.701934	-1.374555	0.715706	0.595961	-1.041590
AT4G13840	Protein ECERIFERUM 26	1.000000	-1.512646	1.016657	-1.999397	-0.047132	1.032482	-1.308284
AT5G44700	LRR receptor-like serine/threonine-protein kinase GSO2	1.000000	-1.933214	0.398084	-2.335569	0.459596	1.143211	-1.044674
AT5G10880	Putative uncharacterized protein T30N20_150	1.000000	-0.776148	2.234969	-0.695351	1.897568	2.572633	0.814111
AT1G01600	Cytochrome P450 86A4	1.000000	-1.214416	1.161683	-1.690240	0.659738	1.505676	0.036544
AT5G10150	Protein UPSTREAM OF FLC	1.000000	-1.647463	0.619368	-2.627712	1.092054	0.794870	-0.883276
AT1G01610	GPAT4	1.000000	-1.064427	0.915377	-1.355362	1.187435	0.956298	-0.147607
AT1G05010	1-aminocyclopropane-1-carboxylate oxidase 4	1.000000	-0.178683	1.637345	-0.359550	1.781247	1.874779	0.624758
AT1G78360	glutathione S-transferase TAU 21	1.000000	-0.434515	1.507759	-1.853951	0.833346	1.144834	0.313723
AT4G00360	Cytochrome P450 86A2	1.000000	-1.706530	1.565658	-3.224615	0.988034	1.030104	0.825560
AT4G39510	CYP96A12	1.000000	-2.497425	1.015326	-2.308565	-0.987504	0.076005	-1.229518
AT1G08170	Histone H2B.2	1.000000	-3.063817	0.873107	-2.438285	-1.303979	-0.785642	-1.414511
AT1G66190	Putative uncharacterized protein	1.000000	-2.183286	0.929551	-1.581096	-0.764128	-0.143567	-1.457732
ATMG00160	Cytochrome c oxidase subunit 2	1.000000	0.519463	2.667242	0.862780	1.334597	1.594824	1.043926
AT5G19190	Putative uncharacterized protein At5g19190	1.000000	-2.135349	0.514342	-1.840062	-0.678686	-1.063473	-1.211269
AT1G49730	Probable receptor-like protein kinase	1.000000	-2.039611	0.542720	-1.999703	-0.643823	-0.875575	-1.169931
AT4G10010	Putative uncharacterized protein AT4g10010	1.000000	-1.333353	4.380502	-0.053977	2.218508	1.664612	0.404088
AT3G19310	MAP3K protein kinase-like protein	1.000000	-2.013214	-0.141696	-1.369681	-0.913348	-0.637728	-1.316837
AT1G02640	Probable beta-D-xylosidase 2	1.000000	-2.842667	1.412799	-1.006649	-0.159503	-0.086612	-0.924449
AT4G31140	Glucan endo-1,3-beta-glucosidase 5	1.000000	-1.454229	0.346794	-1.245395	-0.145966	-0.308795	-1.310495
AT5G62280	At5g62280	1.000000	-2.704613	1.391799	-2.201318	-0.231431	-0.155287	-2.507987
AT2G21400	SHI-related sequence3	1.000000	-1.180427	1.632000	-0.672275	1.435585	0.937610	-0.465881
AT1G76560	CP12-3	1.000000	-0.615992	1.587544	-0.064088	1.382509	1.057898	-0.222851
AT1G71250	GDSL esterase/lipase At1g71250	1.000000	-0.378687	2.465267	0.547677	2.214582	1.745256	-0.480364
AT5G44260	Zinc finger CCCH domain-containing protein 61	1.000000	-1.223899	1.108289	-0.958231	1.239572	0.343120	-1.521034
AT2G34000	At2g34000	1.000000	-1.944580	1.014007	-0.731188	1.165685	0.746142	-0.503829
AT5G47240	nudix hydrolase homolog 8	1.000000	-1.620360	1.350593	0.065785	0.940023	1.248120	-0.393006
AT3G52780	Probable purple acid phosphatase 20	1.000000	-0.589085	1.272992	0.692768	1.542839	1.032608	0.181770
AT1G02390	GPAT2	1.000000	-0.707791	1.774569	0.923141	1.804909	1.583653	0.174456
AT4G34790	At4g34790	1.000000	-1.229718	0.931348	-2.021537	1.574185	0.565089	-0.336898
AT2G46990	Auxin-responsive protein IAA20	1.000000	-1.081590	0.075709	-1.767264	1.145468	0.162968	-0.799752
AT5G22390	Putative uncharacterized protein	1.000000	-1.721638	-0.245660	-2.972051	0.364627	-0.730945	-1.471802
AT2G40610	EXPA8	1.000000	-1.878722	0.587238	-3.621413	1.920208	0.336975	-1.992790
AT4G00400	Probable glycerol-3-phosphate acyltransferase 8	1.000000	-1.063239	0.929448	-3.079203	1.757682	0.976813	-1.121696
AT1G20530	F5M15.15	1.000000	-1.007270	-0.147137	-3.212944	0.170734	-0.544115	-1.199144
AT3G02170	Protein LONGIFOLIA 2	1.000000	-1.005157	0.074728	-2.291856	0.047999	-0.722192	-1.611597
AT5G06510	NF-YA10	1.000000	0.434347	1.329908	-2.030259	1.508051	0.730674	-0.622394
AT3G48460	GDSL esterase/lipase At3g48460	1.000000	0.382931	0.417845	-1.696655	2.158029	1.108235	-0.677545
AT2G18193	AAA-ATPase At2g18193	1.000000	1.986628	1.980014	0.670846	3.071108	2.663245	1.329959
AT5G02760	Probable protein phosphatase 2C 67	1.000000	-1.410929	0.641413	-3.639652	-0.181797	1.298490	-1.016718
AT5G52100	CRR1	1.000000	-1.646729	-0.462058	-2.460163	-0.809514	-0.138284	-1.782117
AT5G26730	Fasciclin-like arabinogalactan family protein	1.000000	-1.134816	-0.307757	-2.075529	-0.881164	-0.204900	-1.452227
AT4G18740	Rho termination factor	1.000000	-1.786911	-0.644115	-2.865453	-0.453001	-0.101573	-1.238467
AT3G11110	RING-H2 finger protein ATL66	1.000000	-0.102018	0.959847	-2.646632	1.683938	2.655415	-0.843297
AT1G28010	ABC transporter B family member 14	1.000000	-0.913552	0.519556	-2.787888	0.758353	1.032843	-1.194581
AT3G47980	At3g47980	1.000000	-1.015505	0.246077	-2.157180	1.454514	1.549588	-0.955718
AT3G12685	Acid phosphatase/vanadium-dependent haloperoxidase-related protein	1.000000	-1.268454	-0.368158	-1.723905	0.244017	0.387472	-1.159121
AT3G10720	Probable pectinesterase/pectinesterase inhibitor 25	1.000000	-0.895295	0.668222	-3.400136	0.277659	3.930687	-2.180473
AT5G03270	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	1.000000	-1.193522	-0.410801	-2.337212	-0.437303	0.884910	-1.776314
AT1G30280	Chaperone DnaJ-domain-containing protein	1.000000	-1.101171	-0.242081	-2.501856	-0.444208	-0.087520	-2.250046
AT3G15340	Proton pump-interactor 2	1.000000	2.130576	2.259442	-1.460733	2.603233	3.027983	-0.325169
AT5G48900	Probable pectate lyase 20	1.000000	-1.340201	0.697421	-2.699145	-0.827083	-0.714725	-2.073365
AT2G24150	Heptahelical transmembrane protein 3	1.000000	-1.422206	-0.100795	-2.149282	-0.998633	-1.158095	-1.599753
AT3G54210	50S ribosomal protein L17, chloroplastic	1.000000	-1.038397	-0.234298	-1.812459	-0.745413	-0.585502	-1.334213
AT1G04250	Auxin-responsive protein	1.000000	-1.135091	0.619282	-3.023161	-0.784054	-0.229548	-2.356554
AT3G58120	Basic leucine zipper 61	1.000000	-1.731621	-0.094195	-3.321682	-1.500178	-0.707884	-2.255208
AT5G17670	Hydrolase-like protein	1.000000	-1.071441	-0.311313	-1.786276	-0.821270	-0.708893	-1.726814
AT5G52750	Heavy metal-associated isoprenylated plant protein 13	1.000000	3.248098	1.469923	2.234269	4.013677	2.954423	2.512156
AT3G17700	Probable cyclic nucleotide-gated ion channel 20, chloroplastic	1.000000	1.696323	0.411064	1.082342	2.106812	1.642324	1.382774
AT5G57123	At5g57123	1.000000	1.190127	-2.299439	0.027329	3.600652	1.981632	1.016205
AT4G26950	At4g26950	1.000000	2.410196	-0.526037	0.302506	4.395695	2.898272	1.660466
AT4G27890	Protein BOBBER 2	1.000000	1.293617	0.078046	0.387160	2.537407	1.706191	1.150828
AT5G13740	Protein ZINC INDUCED FACILITATOR 1	1.000000	1.644158	0.950996	1.408862	3.234515	2.261205	1.971081
AT1G53160	Squamosa promoter-binding-like protein 4	1.000000	0.701427	-1.229994	0.056722	3.277042	1.457418	0.972178
AT5G07310	Ethylene-responsive transcription factor ERF115	1.000000	3.171546	0.159523	2.370079	6.614039	5.273279	2.909408
AT1G14040	Phosphate transporter PHO1 homolog 3	1.000000	1.779772	0.890083	1.384658	3.020286	2.650141	1.811620
AT1G50950	Thioredoxin protein with domain of unknown function (DUF1692)	1.000000	-0.319990	-2.242617	-1.006707	3.054506	-0.008225	-1.402208
AT5G37710	alpha/beta-Hydrolases superfamily protein	1.000000	1.081585	0.210849	-0.155961	1.776327	1.168753	1.043995
AT5G40000	AAA-ATPase At5g40000	1.000000	2.113527	1.291608	1.205338	2.628604	1.996734	1.840230
AT2G44800	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.000000	0.759000	-0.282489	-1.271114	3.144192	1.018292	-0.447765
AT5G23020	Methylthioalkylmalate synthase 3, chloroplastic	1.000000	-0.385314	-1.725825	-2.252992	0.521172	-0.590799	-1.691903
AT2G44578	RING/U-box domain-containing protein	1.000000	2.312303	0.088141	0.005713	2.868235	1.997193	0.501161
AT1G70920	HD-ZIP transcription factor 18	1.000000	0.095022	-0.862573	1.189705	1.788709	1.598234	1.357802
AT2G35900	Putative uncharacterized protein At2g35900	1.000000	0.709609	-0.171895	1.200829	1.723518	1.624514	1.291482
AT5G14420	E3 ubiquitin-protein ligase RGLG2	1.000000	0.253109	0.162058	0.766619	1.280972	1.306637	1.186087
AT5G13360	Auxin-responsive GH3 family protein	1.000000	0.210838	-0.451716	1.007539	2.344484	2.057228	1.997472
AT3G50440	Methylesterase 10	1.000000	0.696598	0.000400	1.230354	2.312105	2.487960	2.115678
AT1G47765	Putative F-box protein At1g47765	1.000000	-0.157094	-0.670521	0.727932	1.156000	1.283901	1.732136
