AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT2G42760			1.54	3.8E-05	2.65	6.0E-21	blue
AT5G06870	PGIP2	polygalacturonase inhibiting protein 2	1.54	1.5E-09	2.09	2.2E-15	blue
AT1G25400			1.52	1.1E-03	2.79	1.6E-06	blue
AT1G25500		Plasma-membrane choline transporter family protein	1.51	9.7E-11	2.40	4.8E-13	blue
AT2G26560	PLA2A	phospholipase A 2A	1.50	1.2E-02	1.66	1.7E-03	blue
AT5G05590	PAI2	phosphoribosylanthranilate isomerase 2	1.49	6.3E-24	1.10	3.2E-09	blue
AT1G20510	OPCL1	OPC-8:0 CoA ligase1	1.49	2.9E-06	1.86	1.6E-12	blue
AT1G52720			1.49	2.7E-14	2.74	4.3E-21	blue
AT4G28556	RIC7	PAK-box/P21-Rho-binding family protein	1.49	4.0E-04	3.14	2.7E-12	blue
AT4G39950	CYP79B2	"cytochrome P450, family 79, subfamily B, polypeptide 2"	1.47	4.4E-14	1.28	1.3E-16	blue
AT1G12240	ATBETAFRUCT4	Glycosyl hydrolases family 32 protein	1.45	2.0E-15	1.89	2.0E-15	blue
AT5G47240	NUDT8	nudix hydrolase homolog 8	1.44	5.5E-16	2.13	1.3E-20	blue
AT4G24350		Phosphorylase superfamily protein	1.43	2.1E-30	2.11	4.0E-29	blue
AT1G74420	FUT3	fucosyltransferase 3	1.42	4.4E-03	1.65	2.7E-04	blue
AT3G56710	SIB1	sigma factor binding protein 1	1.42	1.3E-03	2.62	2.0E-11	blue
AT2G18193		P-loop containing nucleoside triphosphate hydrolases superfamily protein	1.40	1.8E-02	1.06	1.7E-02	blue
AT4G19030	NLM1	NOD26-like major intrinsic protein 1	1.40	7.9E-03	1.63	1.1E-02	blue
AT4G18360		Aldolase-type TIM barrel family protein	1.40	4.7E-03	1.44	1.9E-03	blue
AT3G59052	CPuORF18	conserved peptide upstream open reading frame 18	1.39	4.8E-12	1.83	2.9E-11	blue
AT4G21910		MATE efflux family protein	1.39	1.2E-23	1.74	5.3E-24	blue
AT2G38500		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.38	8.8E-05	3.21	1.6E-21	blue
AT3G21560	UGT84A2	UDP-Glycosyltransferase superfamily protein	1.37	1.4E-21	1.96	1.6E-22	blue
AT5G44050		MATE efflux family protein	1.37	3.1E-14	2.30	1.2E-21	blue
AT3G16690	SWEET16	Nodulin MtN3 family protein	1.36	1.9E-09	2.06	4.2E-13	blue
AT4G01895		systemic acquired resistance (SAR) regulator protein NIMIN-1-related	1.34	9.7E-04	2.93	1.8E-10	blue
AT1G32920			1.34	6.8E-03	2.92	1.1E-10	blue
AT5G63087		Plant thionin family protein	1.34	4.3E-04	1.84	5.8E-05	blue
AT5G64510	TIN1		1.33	1.2E-04	2.57	2.1E-12	blue
AT5G01840	OFP1	ovate family protein 1	1.33	1.4E-07	2.14	1.2E-14	blue
AT1G62660		Glycosyl hydrolases family 32 protein	1.33	2.0E-16	2.10	4.1E-15	blue
AT1G06000		UDP-Glycosyltransferase superfamily protein	1.32	1.4E-24	1.87	5.7E-26	blue
AT4G21865			1.32	1.2E-02	1.65	8.6E-06	blue
AT3G49580	LSU1	response to low sulfur 1	1.31	3.2E-02	2.90	1.3E-09	blue
AT3G44320	NIT3	nitrilase 3	1.31	4.1E-07	2.03	3.7E-08	blue
AT2G27310		F-box family protein	1.31	7.3E-06	2.20	3.6E-12	blue
AT1G72120		Major facilitator superfamily protein	1.31	1.8E-08	2.14	3.8E-13	blue
AT5G42860			1.30	9.7E-08	1.90	8.3E-09	blue
AT3G15720		Pectin lyase-like superfamily protein	1.29	1.1E-03	3.48	2.6E-14	blue
AT1G03495		HXXXD-type acyl-transferase family protein	1.28	4.1E-22	2.05	1.3E-26	blue
AT5G43745		Protein of unknown function (DUF1012)	1.28	8.1E-25	1.03	3.3E-11	blue
AT1G69370	CM3	chorismate mutase 3	1.27	1.9E-13	1.26	7.6E-17	blue
AT5G53420		CCT motif family protein	1.26	4.1E-24	2.25	3.4E-26	blue
AT2G16720	MYB7	myb domain protein 7	1.26	9.0E-06	1.36	9.2E-09	blue
AT1G49370			1.25	6.8E-08	2.90	6.2E-27	blue
AT3G51238		other RNA	1.25	5.2E-04	1.81	1.9E-05	blue
AT1G54030	MVP1	GDSL-like Lipase/Acylhydrolase superfamily protein	1.25	5.0E-18	1.30	2.0E-08	blue
AT1G77420		alpha/beta-Hydrolases superfamily protein	1.24	1.2E-15	2.02	6.9E-21	blue
AT1G45145	TRX5	thioredoxin H-type 5	1.24	1.1E-05	3.78	7.3E-19	blue
AT1G53885		Protein of unknown function (DUF581)	1.24	2.9E-02	1.80	2.6E-04	blue
AT1G14130		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.23	2.7E-09	1.64	1.5E-07	blue
AT3G09910	RABC2b	RAB GTPase homolog C2B	1.23	2.6E-03	2.77	1.2E-15	blue
AT5G40210		nodulin MtN21 /EamA-like transporter family protein	1.22	2.5E-05	1.55	8.8E-11	blue
AT1G70810		Calcium-dependent lipid-binding (CaLB domain) family protein	1.21	2.3E-34	1.91	7.4E-33	blue
AT1G61890		MATE efflux family protein	1.21	2.9E-02	1.67	5.9E-09	blue
AT4G27560		UDP-Glycosyltransferase superfamily protein	1.21	9.1E-14	1.63	5.9E-21	blue
AT5G05730	ASA1	anthranilate synthase alpha subunit 1	1.20	4.4E-11	1.02	3.0E-09	blue
AT1G09970	LRR XI-23	Leucine-rich receptor-like protein kinase family protein	1.19	8.6E-20	1.92	6.3E-11	blue
AT1G22550		Major facilitator superfamily protein	1.19	3.6E-06	2.23	4.7E-12	blue
AT2G33380	RD20	Caleosin-related family protein	1.19	3.6E-06	2.77	4.9E-26	blue
AT4G15230	ABCG30	pleiotropic drug resistance 2	1.19	6.5E-06	1.98	4.0E-17	blue
AT5G44820		Nucleotide-diphospho-sugar transferase family protein	1.19	2.8E-02	1.19	2.3E-03	blue
AT2G39770	CYT1	Glucose-1-phosphate adenylyltransferase family protein	1.19	3.0E-17	1.27	7.6E-19	blue
AT2G36080		AP2/B3-like transcriptional factor family protein	1.19	1.4E-03	2.88	4.7E-12	blue
AT4G29210	GGT4	gamma-glutamyl transpeptidase 4	1.18	3.7E-17	1.75	5.9E-16	blue
AT5G03350		Legume lectin family protein	1.17	1.3E-02	2.44	5.3E-06	blue
AT1G45191	BGLU1	Glycosyl hydrolase superfamily protein	1.17	1.1E-24	2.18	2.0E-29	blue
AT3G18777			1.17	2.8E-03	1.94	8.0E-07	blue
AT4G30530	GGP1	Class I glutamine amidotransferase-like superfamily protein	1.17	2.5E-25	1.67	5.7E-25	blue
AT1G17745	PGDH	D-3-phosphoglycerate dehydrogenase	1.17	7.2E-09	1.96	3.2E-10	blue
AT3G48350	CEP3	Cysteine proteinases superfamily protein	1.17	3.4E-09	1.76	1.0E-16	blue
AT5G24380	YSL2	YELLOW STRIPE like 2	1.16	2.0E-03	2.05	4.3E-15	blue
AT2G36590	ProT3	proline transporter 3	1.15	7.0E-05	2.12	5.0E-09	blue
AT3G44970		Cytochrome P450 superfamily protein	1.14	2.3E-07	3.33	5.1E-33	blue
AT5G67480	BT4	BTB and TAZ domain protein 4	1.13	3.7E-12	2.17	1.7E-14	blue
AT3G51970	ASAT1	acyl-CoA sterol acyl transferase 1	1.12	5.3E-03	2.23	4.6E-13	blue
AT4G36648		other RNA	1.12	5.1E-12	2.60	4.9E-18	blue
AT2G46510	AIB	ABA-inducible BHLH-type transcription factor	1.11	1.6E-07	1.58	1.8E-12	blue
AT2G04080		MATE efflux family protein	1.11	4.6E-14	1.97	1.5E-17	blue
AT4G39980	DHS1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1	1.10	6.3E-16	1.62	4.5E-16	blue
AT3G43270		Plant invertase/pectin methylesterase inhibitor superfamily	1.10	3.5E-06	2.06	4.0E-10	blue
AT5G23660	SWEET12	homolog of Medicago truncatula MTN3	1.10	5.5E-18	2.42	1.1E-18	blue
AT3G27170	CLC-B	chloride channel B	1.10	7.7E-09	2.36	5.4E-23	blue
AT4G27852			1.09	8.6E-05	1.57	4.3E-08	blue
AT5G13550	SULTR4;1	sulfate transporter 4.1	1.08	4.7E-21	1.96	9.3E-20	blue
AT3G17860	JAZ3	jasmonate-zim-domain protein 3	1.08	1.4E-05	1.12	8.4E-12	blue
AT1G60270	BGLU6	beta glucosidase 6	1.07	5.1E-11	1.87	2.0E-23	blue
AT2G25820	ESE2	Integrase-type DNA-binding superfamily protein	1.07	2.3E-03	1.93	9.6E-10	blue
AT1G75220	ERDL6	Major facilitator superfamily protein	1.07	1.2E-11	1.70	5.2E-16	blue
AT3G11570	TBL8	TRICHOME BIREFRINGENCE-LIKE 8	1.06	1.9E-03	2.45	1.0E-12	blue
AT5G48880	KAT5	peroxisomal 3-keto-acyl-CoA thiolase 2	1.06	1.1E-28	1.64	1.6E-23	blue
AT3G06500	A/N-InvC	Plant neutral invertase family protein	1.05	1.7E-07	1.82	3.5E-26	blue
AT1G62370		RING/U-box superfamily protein	1.05	3.0E-02	2.16	8.3E-10	blue
AT2G26530	AR781	Protein of unknown function (DUF1645)	1.05	9.9E-03	2.64	2.4E-13	blue
AT4G03420		Protein of unknown function (DUF789)	1.05	5.7E-09	1.54	6.4E-19	blue
AT2G29450	GSTU5	glutathione S-transferase tau  5	1.05	3.3E-17	1.48	3.7E-15	blue
AT1G51402			1.05	1.0E-02	1.77	8.1E-13	blue
AT2G36380	ABCG34	pleiotropic drug resistance 6	1.05	6.2E-14	1.66	5.1E-11	blue
AT3G54990	SMZ	Integrase-type DNA-binding superfamily protein	1.04	3.5E-03	2.04	1.3E-12	blue
AT1G78490	CYP708A3	"cytochrome P450, family 708, subfamily A, polypeptide 3"	1.04	9.8E-10	1.46	2.1E-14	blue
AT5G67300	MYBR1	myb domain protein r1	1.04	1.7E-03	2.10	3.5E-17	blue
AT3G51240	F3H	flavanone 3-hydroxylase	1.03	3.1E-11	1.95	1.4E-18	blue
AT1G60090	BGLU4	beta glucosidase 4	1.02	5.4E-05	1.63	2.9E-14	blue
AT4G04830	MSRB5	methionine sulfoxide reductase B5	1.02	1.4E-10	2.22	6.2E-31	blue
AT1G65060	4CL3	4-coumarate:CoA ligase 3	1.02	2.1E-09	1.89	4.1E-17	blue
AT5G27520	PNC2	peroxisomal adenine nucleotide carrier 2	1.02	1.7E-06	1.69	1.4E-09	blue
AT4G08170		"Inositol 1,3,4-trisphosphate 5/6-kinase family protein"	1.01	3.0E-08	1.48	1.9E-12	blue
AT1G14360	UTR3	UDP-galactose transporter 3	1.01	3.2E-10	2.08	4.4E-19	blue
AT3G22740	HMT3	homocysteine S-methyltransferase 3	1.01	1.4E-07	1.87	4.0E-44	blue
AT5G63970	RGLG3	Copine (Calcium-dependent phospholipid-binding protein) family	1.01	4.3E-06	2.53	3.9E-18	blue
AT3G02875	ILR1	Peptidase M20/M25/M40 family protein	1.01	3.7E-09	1.76	2.5E-09	blue
AT3G59710		NAD(P)-binding Rossmann-fold superfamily protein	1.00	7.5E-04	1.63	8.0E-12	blue
AT4G22753	SMO1-3	sterol 4-alpha methyl oxidase 1-3	1.00	1.3E-11	1.73	7.1E-26	blue
AT3G46490		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-1.07	8.4E-03	-2.22	1.2E-05	blue
AT5G18050	SAUR22	SAUR-like auxin-responsive protein family 	-1.20	1.9E-03	-2.19	1.4E-05	blue
AT4G32280	IAA29	indole-3-acetic acid inducible 29	-1.32	4.2E-04	-2.11	3.8E-07	blue
AT5G62280		Protein of unknown function (DUF1442)	-1.33	9.9E-04	-1.86	3.8E-06	blue
AT4G34530	CIB1	cryptochrome-interacting basic-helix-loop-helix 1	-2.19	3.0E-03	-2.78	1.5E-05	blue
AT3G03480	CHAT	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase	1.98	4.2E-20	0.92	3.1E-02	purple
AT3G16420	PBP1	PYK10-binding protein 1	1.34	4.4E-09	0.97	8.1E-07	purple
AT4G35630	PSAT	phosphoserine aminotransferase	1.14	1.9E-09	0.85	3.3E-03	purple
AT1G17420	LOX3	lipoxygenase 3	1.13	1.8E-02	0.95	9.6E-04	purple
AT5G17990	TRP1	tryptophan biosynthesis 1	1.03	4.8E-14	0.96	1.0E-12	purple
AT5G62040	BFT	PEBP (phosphatidylethanolamine-binding protein) family protein	1.03	4.5E-02	0.99	7.7E-03	purple
AT3G54640	TSA1	tryptophan synthase alpha chain	1.01	2.1E-06	0.75	1.2E-06	purple
AT4G31500	CYP83B1	"cytochrome P450, family 83, subfamily B, polypeptide 1"	1.01	1.2E-08	0.69	6.6E-05	purple
AT3G19010		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.99	2.1E-09	1.85	1.3E-18	red
AT1G75450	CKX5	cytokinin oxidase 5	0.99	6.7E-03	1.50	2.4E-07	red
AT1G74430	MYB95	myb domain protein 95	0.99	3.5E-05	1.56	2.9E-18	red
AT1G11580	PMEPCRA	methylesterase PCR A	0.99	3.4E-14	1.54	1.8E-14	red
AT2G37025	TRFL8	TRF-like 8	0.99	1.5E-03	1.75	1.2E-09	red
AT5G17050	UGT78D2	UDP-glucosyl transferase 78D2	0.99	4.4E-16	1.74	3.2E-26	red
AT5G44720		Molybdenum cofactor sulfurase family protein	0.98	2.5E-21	1.40	2.1E-33	red
AT2G37900		Major facilitator superfamily protein	0.98	1.1E-03	2.30	7.6E-16	red
AT1G09180	SARA1A	secretion-associated RAS super family 1	0.98	2.5E-09	2.03	6.2E-31	red
AT5G42020	BIP2	Heat shock protein 70 (Hsp 70) family protein	0.98	5.7E-06	1.98	1.9E-11	red
AT5G66650		Protein of unknown function (DUF607)	0.97	1.5E-02	1.93	2.2E-09	red
AT2G02810	UTR1	UDP-galactose transporter 1	0.97	2.3E-06	2.27	3.4E-14	red
AT2G04050		MATE efflux family protein	0.97	3.7E-02	1.18	1.1E-02	red
AT5G55120	VTC5	galactose-1-phosphate guanylyltransferase (GDP)s;GDP-D-glucose phosphorylases;quercetin 4-O-glucosyltransferases	0.96	1.7E-09	1.35	7.4E-18	red
AT5G61290		Flavin-binding monooxygenase family protein	0.96	2.9E-05	1.93	2.5E-31	red
AT2G34930		disease resistance family protein / LRR family protein	0.96	6.0E-05	2.04	2.3E-24	red
AT1G14520	MIOX1	myo-inositol oxygenase 1	0.95	3.4E-03	1.33	5.9E-06	red
AT2G27228	CPuORF6	conserved peptide upstream open reading frame 6	0.95	2.3E-05	1.39	1.0E-06	red
AT4G17680		SBP (S-ribonuclease binding protein) family protein	0.94	1.3E-04	1.71	3.9E-10	red
AT3G55940		Phosphoinositide-specific phospholipase C family protein	0.93	1.2E-04	1.25	4.5E-09	red
AT4G27070	TSB2	tryptophan synthase beta-subunit 2	0.93	6.0E-09	1.10	1.5E-11	red
AT3G02510		Regulator of chromosome condensation (RCC1) family protein	0.92	2.2E-12	1.70	4.8E-17	red
AT5G01850		Protein kinase superfamily protein	0.92	6.3E-11	1.79	2.7E-18	red
AT5G28540	BIP1	heat shock protein 70 (Hsp 70) family protein	0.92	6.0E-08	1.75	6.6E-15	red
AT5G46710		PLATZ transcription factor family protein	0.92	1.5E-02	1.12	7.1E-08	red
AT1G27330		Ribosome associated membrane protein RAMP4	0.92	8.7E-10	1.97	9.2E-19	red
AT1G65040	Hrd1B	RING/U-box superfamily protein	0.91	5.0E-12	1.81	6.2E-19	red
AT4G00670		Remorin family protein	0.91	4.1E-02	2.55	9.9E-09	red
AT2G04400		Aldolase-type TIM barrel family protein	0.91	3.4E-12	1.07	1.5E-11	red
AT5G11930		Thioredoxin superfamily protein	0.91	8.3E-03	2.11	7.1E-14	red
AT1G69360		Plant protein of unknown function (DUF863)	0.91	1.4E-07	1.44	3.2E-20	red
AT2G20340		Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	0.90	3.3E-09	1.21	1.4E-11	red
AT5G63160	bt1	BTB and TAZ domain protein 1	0.90	9.7E-03	1.89	1.8E-29	red
AT1G60260	BGLU5	beta glucosidase 5	0.90	8.1E-16	1.59	1.0E-38	red
AT5G61790	CNX1	calnexin 1	0.89	1.8E-08	1.73	2.1E-14	red
AT4G37260	MYB73	myb domain protein 73	0.89	2.8E-02	2.22	2.7E-11	red
AT1G36370	SHM7	serine hydroxymethyltransferase 7	0.88	1.8E-02	2.03	9.2E-13	red
AT2G37770	ChlAKR	NAD(P)-linked oxidoreductase superfamily protein	0.88	4.5E-02	1.55	1.5E-02	red
AT5G48960		"HAD-superfamily hydrolase, subfamily IG, 5-nucleotidase"	0.88	1.6E-13	1.64	7.8E-27	red
AT5G14700		NAD(P)-binding Rossmann-fold superfamily protein	0.87	1.6E-04	1.35	1.3E-08	red
AT1G17750	PEPR2	PEP1 receptor 2	0.87	5.9E-05	1.62	9.8E-09	red
AT1G76070			0.87	4.1E-03	1.83	2.6E-07	red
AT1G21250	WAK1	cell wall-associated kinase	0.86	1.5E-02	1.40	1.1E-03	red
AT1G54040	ESP	epithiospecifier protein	0.86	1.4E-13	1.65	1.2E-16	red
AT1G44790		ChaC-like family protein	0.85	4.0E-16	1.60	3.4E-18	red
AT3G55640		Mitochondrial substrate carrier family protein	0.84	6.1E-09	1.54	1.4E-09	red
AT1G17830		Protein of unknown function (DUF789)	0.84	2.9E-04	1.86	1.6E-11	red
AT3G19970		alpha/beta-Hydrolases superfamily protein	0.84	1.0E-03	2.32	1.4E-12	red
AT5G16450		Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase	0.83	6.5E-07	1.83	4.0E-12	red
AT1G62540	FMO GS-OX2; At-GS-OX2	flavin-monooxygenase glucosinolate S-oxygenase 2	0.83	9.1E-08	1.01	1.0E-12	red
AT3G17120			0.83	1.9E-09	1.96	6.9E-21	red
AT3G50930	BCS1	cytochrome BC1 synthesis	0.83	4.5E-02	1.97	1.9E-08	red
AT3G20390		endoribonuclease L-PSP family protein	0.82	1.5E-15	1.33	1.5E-21	red
AT2G14750	APK	APS kinase	0.82	3.4E-14	1.16	4.7E-23	red
AT5G60900	RLK1	receptor-like protein kinase 1	0.82	9.7E-04	1.07	3.4E-03	red
AT5G05270	CHIL	Chalcone-flavanone isomerase family protein	0.81	8.0E-09	1.69	1.2E-23	red
AT4G36640		Sec14p-like phosphatidylinositol transfer family protein	0.81	5.4E-10	1.65	6.3E-16	red
AT5G47910	RBOHD	respiratory burst oxidase homologue D	0.81	2.6E-04	1.69	6.7E-24	red
AT1G11840	GLX1	glyoxalase I homolog	0.81	8.6E-13	1.64	4.1E-14	red
AT4G19390		Uncharacterised protein family (UPF0114)	0.81	3.6E-05	1.82	5.4E-18	red
AT2G39020		Acyl-CoA N-acyltransferases (NAT) superfamily protein	0.80	1.5E-11	1.02	2.2E-09	red
AT3G10260		Reticulon family protein	0.80	8.9E-13	1.56	1.5E-18	red
AT1G58200	MSL3	MSCS-like 3	0.80	7.5E-12	1.51	4.9E-20	red
AT3G55290		NAD(P)-binding Rossmann-fold superfamily protein	0.80	1.3E-05	1.29	1.2E-11	red
AT1G31710		Copper amine oxidase family protein	0.79	3.7E-02	1.50	2.8E-13	red
AT5G23010	MAM1	methylthioalkylmalate synthase 1	0.79	7.1E-10	1.53	3.4E-21	red
AT3G53000	PP2-A15	phloem protein 2-A15	0.79	1.6E-11	1.87	1.7E-31	red
AT3G22160		VQ motif-containing protein	0.79	3.4E-02	1.35	3.1E-04	red
AT1G28230	PUP1	purine permease 1	0.79	5.5E-17	1.53	2.9E-17	red
AT5G57800	CER3	Fatty acid hydroxylase superfamily	0.78	2.2E-11	1.67	2.0E-12	red
AT1G58270	ZW9	TRAF-like family protein	0.78	7.0E-04	1.28	4.2E-04	red
AT3G19710	BCAT4	branched-chain aminotransferase4	0.78	1.7E-07	1.75	8.1E-37	red
AT1G73210		Protein of unknown function (DUF789)	0.78	2.4E-03	1.65	7.3E-13	red
AT1G78370	GSTU20	glutathione S-transferase TAU 20	0.78	7.2E-12	1.13	3.2E-13	red
AT5G06865		other RNA	0.78	1.8E-03	1.42	1.0E-07	red
AT1G29300	UNE1	Plant protein of unknown function (DUF641)	0.78	3.0E-03	1.56	8.1E-13	red
AT3G08970	ATERDJ3A	DNAJ heat shock N-terminal domain-containing protein	0.77	4.9E-02	2.26	2.9E-10	red
AT1G32900	GBSS1	UDP-Glycosyltransferase superfamily protein	0.77	8.7E-07	1.75	1.5E-20	red
AT4G29520			0.77	6.2E-04	1.82	7.0E-11	red
AT2G39210		Major facilitator superfamily protein	0.76	4.5E-02	2.38	2.2E-12	red
AT3G15990	SULTR3;4	sulfate transporter 3;4	0.76	4.0E-02	1.48	2.3E-10	red
AT1G69610		Protein of unknown function (DUF1666)	0.76	1.2E-09	1.63	3.7E-15	red
AT5G03630	ATMDAR2	Pyridine nucleotide-disulphide oxidoreductase family protein	0.75	2.0E-07	1.46	6.2E-15	red
AT1G08920	ESL1	ERD (early response to dehydration) six-like 1	0.75	3.0E-03	1.65	9.8E-19	red
AT1G45201	TLL1	triacylglycerol lipase-like 1	0.75	2.3E-11	1.48	4.3E-18	red
AT5G24660	LSU2	response to low sulfur 2	0.75	1.3E-02	1.84	1.3E-11	red
AT3G56200		Transmembrane amino acid transporter family protein	0.75	7.8E-03	1.39	3.4E-07	red
AT5G54390	HL	HAL2-like	0.75	3.6E-19	1.59	6.3E-24	red
AT3G56360			0.75	3.3E-02	1.73	4.9E-18	red
AT1G75960		AMP-dependent synthetase and ligase family protein	0.74	1.0E-03	1.02	3.0E-05	red
AT1G13280	AOC4	allene oxide cyclase 4	0.74	2.4E-10	1.28	1.8E-17	red
AT4G30460		glycine-rich protein	0.74	1.4E-04	1.91	1.3E-13	red
AT2G39050	EULS3	hydroxyproline-rich glycoprotein family protein	0.74	2.2E-05	1.60	7.0E-11	red
AT4G09560		Protease-associated (PA) RING/U-box zinc finger family protein	0.74	1.7E-11	1.38	2.4E-20	red
AT5G65870	PSK5	phytosulfokine 5 precursor	0.73	3.1E-04	1.57	9.8E-18	red
AT4G13110		BSD domain-containing protein	0.73	8.2E-05	1.44	1.5E-09	red
AT3G08990		Yippee family putative zinc-binding protein	0.73	1.1E-02	1.73	2.5E-07	red
AT2G46430	CNGC3	cyclic nucleotide gated channel 3	0.73	3.6E-02	1.43	1.2E-04	red
AT5G13800	PPH	pheophytinase	0.72	7.5E-12	1.29	6.7E-16	red
AT5G56760	SERAT1;1	serine acetyltransferase 1;1	0.72	1.7E-08	1.59	1.5E-13	red
AT2G46100		Nuclear transport factor 2 (NTF2) family protein	0.72	8.2E-12	1.40	6.0E-20	red
AT5G17000		Zinc-binding dehydrogenase family protein	0.71	9.7E-07	1.77	1.6E-13	red
AT2G23000	scpl10	serine carboxypeptidase-like 10	0.71	6.7E-16	1.56	3.8E-36	red
AT2G27230	LHW	transcription factor-related	0.71	3.3E-05	1.40	7.3E-14	red
AT1G28050		B-box type zinc finger protein with CCT domain	0.70	1.2E-03	1.30	1.0E-06	red
AT4G30500		Protein of unknown function (DUF788)	0.70	4.7E-02	1.17	3.3E-04	red
AT1G72940		Toll-Interleukin-Resistance (TIR) domain-containing protein	0.69	2.4E-02	1.36	3.7E-09	red
AT4G12030	BAT5	bile acid transporter 5	0.69	3.0E-10	1.12	5.0E-22	red
AT5G14200	IMD1	isopropylmalate dehydrogenase 1	0.69	6.0E-10	1.15	2.2E-19	red
AT5G24160	SQE6	squalene monoxygenase 6	0.69	7.9E-13	1.73	6.8E-28	red
AT3G62600	ATERDJ3B	DNAJ heat shock family protein	0.69	2.1E-06	1.41	3.1E-13	red
AT4G04610	APR1	APS reductase 1	0.69	3.0E-04	1.19	2.4E-16	red
AT4G16760	ACX1	acyl-CoA oxidase 1	0.68	3.3E-07	1.30	5.5E-09	red
AT5G50670	SPL13B	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	0.68	9.0E-03	1.77	3.9E-10	red
AT1G19300	PARVUS	Nucleotide-diphospho-sugar transferases superfamily protein	0.68	5.6E-03	1.33	3.0E-09	red
AT5G54860		Major facilitator superfamily protein	0.68	2.2E-03	1.33	8.5E-07	red
AT3G25290		Auxin-responsive family protein	0.68	1.4E-03	1.23	1.4E-05	red
AT5G39790		5-AMP-activated protein kinase-related	0.68	2.0E-11	1.12	3.8E-19	red
AT3G02020	AK3	aspartate kinase 3	0.68	6.4E-06	1.66	2.1E-29	red
AT3G10985	SAG20	senescence associated gene 20	0.68	8.9E-06	1.65	2.0E-11	red
AT1G28570		SGNH hydrolase-type esterase superfamily protein	0.68	8.0E-05	1.40	6.1E-09	red
AT3G12520	SULTR4;2	sulfate transporter 4;2	0.67	1.9E-03	1.37	1.9E-09	red
AT5G08790	ATAF2	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	0.67	1.6E-06	1.50	4.2E-10	red
AT1G30530	UGT78D1	UDP-glucosyl transferase 78D1	0.67	1.2E-12	1.02	3.6E-12	red
AT1G09210	CRT1b	calreticulin 1b	0.67	3.5E-06	1.50	1.2E-12	red
AT1G54050		HSP20-like chaperones superfamily protein	0.67	1.3E-05	1.02	1.7E-09	red
AT5G67330	NRAMP4	natural resistance associated macrophage protein 4	0.66	5.1E-16	1.64	2.4E-46	red
AT3G01180	SS2	starch synthase 2	0.66	1.0E-11	1.10	2.8E-15	red
AT5G14120		Major facilitator superfamily protein	0.66	5.8E-03	1.50	1.2E-08	red
AT3G15790	MBD11	methyl-CPG-binding domain 11	0.66	4.9E-06	1.25	1.7E-22	red
AT1G70820		"phosphoglucomutase, putative / glucose phosphomutase, putative"	0.66	1.6E-13	1.16	7.5E-15	red
AT3G51090		Protein of unknown function (DUF1640)	0.65	2.3E-06	1.32	1.7E-12	red
AT3G14620	CYP72A8	"cytochrome P450, family 72, subfamily A, polypeptide 8"	0.65	1.0E-02	1.46	1.8E-06	red
AT4G23990	CSLG3	cellulose synthase like G3	0.64	3.7E-04	1.69	4.8E-15	red
AT5G24470	PRR5	pseudo-response regulator 5	0.64	3.1E-03	1.61	3.1E-07	red
AT1G05620	URH2	uridine-ribohydrolase  2	0.64	8.3E-05	1.22	6.9E-09	red
AT1G77510	PDIL1-2	PDI-like 1-2	0.64	3.6E-03	1.45	1.4E-07	red
AT5G50460		secE/sec61-gamma protein transport protein	0.63	2.0E-06	1.31	1.1E-18	red
AT5G52570	BETA-OHASE 2	beta-carotene hydroxylase 2	0.63	2.7E-05	1.04	1.2E-08	red
AT2G37040	pal1	PHE ammonia lyase 1	0.63	5.3E-10	1.78	6.3E-15	red
AT5G05140		Transcription elongation factor (TFIIS) family protein	0.63	1.8E-02	1.49	1.3E-16	red
AT4G16660		heat shock protein 70 (Hsp 70) family protein	0.63	1.7E-06	1.18	7.2E-11	red
AT2G30100		pentatricopeptide (PPR) repeat-containing protein	0.63	7.5E-06	1.01	2.9E-10	red
AT1G56340	CRT1a	calreticulin 1a	0.63	7.0E-09	1.46	7.4E-17	red
AT5G57630	CIPK21	CBL-interacting protein kinase 21	0.63	8.3E-05	1.55	5.2E-10	red
AT2G34490	CYP710A2	"cytochrome P450, family 710, subfamily A, polypeptide 2"	0.62	1.3E-02	1.92	2.6E-24	red
AT3G13310		Chaperone DnaJ-domain superfamily protein	0.62	4.1E-03	1.23	3.3E-05	red
AT1G65860	FMO GS-OX1; At-GS-OX1	flavin-monooxygenase glucosinolate S-oxygenase 1	0.62	1.3E-05	1.32	2.6E-29	red
AT3G08770	LTP6	lipid transfer protein 6	0.62	1.2E-02	1.31	8.2E-06	red
