Gene.ID	Root.1.hr.log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00030678001	-3.029758127	1.31e-08	CDY72562	BnaAnng41480D	supercontig:AST_PRJEB5043_v1:LK051831:279:1223:-1	BnaAnng41480D protein	AT1G77330	NA	chromosome:TAIR10:1:29062945:29064637:-1	1-aminocyclopropane-1-carboxylate oxidase 5	88.778	0	854	NA	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00030700001	1.479088167	0.010318949	CDY61181	BnaCnng37430D	supercontig:AST_PRJEB5043_v1:LK033965:38427:40420:-1	BnaCnng37430D protein	AT5G55970	NA	chromosome:TAIR10:5:22667220:22669631:1	Putative uncharacterized protein	84.2	0	946	NA	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00030724001	3.827687126	2.64e-12	CDY61218	BnaC06g43660D	supercontig:AST_PRJEB5043_v1:LK033970:9823:12602:-1	BnaC06g43660D protein	AT1G70630	NA	chromosome:TAIR10:1:26631218:26634153:1	Nucleotide-diphospho-sugar transferase family protein	87.802	0	1114	NA	GO:0005783	IPR003388;IPR005069
GSBRNA2T00030752001	-2.634289413	0.013100244	CDY61248	BnaCnng37510D	supercontig:AST_PRJEB5043_v1:LK033974:39064:40188:1	BnaCnng37510D protein	AT5G35190	NA	chromosome:TAIR10:5:13434151:13435372:1	Putative uncharacterized protein	86.875	1.17e-43	176	24	NA	NA
GSBRNA2T00030764001	4.276403266	4.76e-08	CDY72572	BnaCnng78360D	supercontig:AST_PRJEB5043_v1:LK051912:1330:1834:1	BnaCnng78360D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00030862001	2.061097283	0.000100696	CDY09384	BnaA02g26260D	supercontig:AST_PRJEB5043_v1:LK031995:406327:409238:1	BnaA02g26260D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468	IPR000719;IPR001611;IPR002290;IPR003591;IPR008271;IPR011009;IPR013210;IPR013320;IPR017441;IPR020635
GSBRNA2T00030863001	1.816744361	0.003987734	CDY09385	BnaA02g26250D	supercontig:AST_PRJEB5043_v1:LK031995:411450:413730:-1	BnaA02g26250D protein	AT2G02180	TOM3	chromosome:TAIR10:2:560695:563367:1	Tobamovirus multiplication protein 3	91.009	0	1230	398	NA	IPR009457
GSBRNA2T00030867001	-2.7897397	5.34e-08	CDY09389	BnaA02g26210D	supercontig:AST_PRJEB5043_v1:LK031995:460803:461740:-1	BnaA02g26210D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0006952	IPR003614;IPR008176;IPR008177
GSBRNA2T00030878001	4.783794071	9.59e-18	CDY09396	BnaA02g26140D	supercontig:AST_PRJEB5043_v1:LK031995:563849:566536:1	Glutamate decarboxylase	AT2G02010	GAD4	chromosome:TAIR10:2:474108:476650:-1	glutamate decarboxylase 4	90.088	0	1923	253	GO:0003824;GO:0004351;GO:0006536;GO:0016831;GO:0019752;GO:0030170	IPR002129;IPR010107;IPR015421;IPR015424
GSBRNA2T00030909001	3.573477565	8.41e-07	CDY09417	BnaA02g25930D	supercontig:AST_PRJEB5043_v1:LK031995:789371:790219:1	BnaA02g25930D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00030923001	-1.174218079	0.034103579	CDY09427	BnaA02g25830D	supercontig:AST_PRJEB5043_v1:LK031995:880263:883179:1	BnaA02g25830D protein	AT2G01630	NA	chromosome:TAIR10:2:279325:282123:-1	Glucan endo-1,3-beta-glucosidase 3	84.794	0	1502	NA	GO:0003824;GO:0005975	IPR000490;IPR012946;IPR013781;IPR017853
GSBRNA2T00030993001	2.502196759	0.0001021	CDY09474	BnaC02g20160D	supercontig:AST_PRJEB5043_v1:LK031996:345304:347256:-1	BnaC02g20160D protein	AT1G70740	NA	chromosome:TAIR10:1:26673631:26675990:-1	At1g70740	85.137	0	1245	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468	IPR000719;IPR001245;IPR002290;IPR008271;IPR011009;IPR013320;IPR020635
GSBRNA2T00031036001	-1.767446414	0.000322848	CDY09492	BnaC02g20340D	supercontig:AST_PRJEB5043_v1:LK031996:547091:548299:-1	BnaC02g20340D protein	AT1G70830	MLP28	chromosome:TAIR10:1:26710005:26711587:-1	MLP-like protein 28	90.182	2.69e-98	359	87	GO:0006952;GO:0009607	IPR000916;IPR023393;IPR024948
GSBRNA2T00031042001	-2.51964957	0.00016738	CDY09495	BnaC02g20370D	supercontig:AST_PRJEB5043_v1:LK031996:577149:578157:-1	BnaC02g20370D protein	AT1G70830	MLP28	chromosome:TAIR10:1:26710005:26711587:-1	MLP-like protein 28	87.391	4.74e-149	527	2	GO:0006952;GO:0009607	IPR000916;IPR023393;IPR024948
GSBRNA2T00031079001	1.646301989	0.001387755	CDY09508	BnaC02g20500D	supercontig:AST_PRJEB5043_v1:LK031996:878139:883887:1	BnaC02g20500D protein	AT1G71010	FAB1C	chromosome:TAIR10:1:26782048:26788973:1	Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C	89.133	0	1232	NA	GO:0005524;GO:0016307;GO:0044267;GO:0046488	IPR002423;IPR002498;IPR016034
GSBRNA2T00031081001	-4.108769503	0.042901672	CDY09509	BnaC02g20510D	supercontig:AST_PRJEB5043_v1:LK031996:886382:887673:-1	BnaC02g20510D protein	AT5G47090	NA	chromosome:TAIR10:5:19127187:19129253:1	AT5g47090/K14A3_4	84.981	7.2e-150	531	NA	NA	IPR018613
GSBRNA2T00031111001	-3.546366457	0.05184435	CDY09527	BnaC05g23920D	supercontig:AST_PRJEB5043_v1:LK031997:115782:116957:-1	BnaC05g23920D protein	AT1G30840	PUP4	chromosome:TAIR10:1:10974445:10976298:1	Probable purine permease 4	84.942	0	693	NA	GO:0016020	IPR000620;IPR004853
GSBRNA2T00031131001	1.993305626	0.001393747	CDY09538	BnaC05g23810D	supercontig:AST_PRJEB5043_v1:LK031997:313785:318225:1	CTP synthase	AT1G30820	NA	chromosome:TAIR10:1:10944908:10949482:-1	CTP synthase	90.793	0	2407	946	GO:0003883;GO:0006221	IPR004468;IPR017456;IPR017926
GSBRNA2T00031143001	1.277207188	0.008554153	CDY09544	BnaC05g23750D	supercontig:AST_PRJEB5043_v1:LK031997:365487:368367:1	BnaC05g23750D protein	AT1G30755	NA	chromosome:TAIR10:1:10905731:10909756:-1	Putative uncharacterized protein At1g30750	87.862	0	1040	NA	NA	IPR007700;IPR021864
GSBRNA2T00031147001	2.717976638	2.42e-05	CDY09546	BnaC05g23730D	supercontig:AST_PRJEB5043_v1:LK031997:377125:378735:-1	BnaC05g23730D protein	AT1G30740	NA	chromosome:TAIR10:1:10903027:10904630:1	FAD-binding Berberine family protein	84.321	0	1568	NA	GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114	IPR006094;IPR012951;IPR016166;IPR016167;IPR016169
GSBRNA2T00031165001	-1.712115153	0.023761486	CDY09557	BnaC05g23620D	supercontig:AST_PRJEB5043_v1:LK031997:483442:487113:1	BnaC05g23620D protein	AT1G30600	SBT2.1	chromosome:TAIR10:1:10841107:10845242:-1	Subtilisin-like protease SBT2.1	88.092	0	2970	NA	GO:0004252;GO:0006508;GO:0042802;GO:0043086	IPR000209;IPR010259;IPR015500;IPR023827;IPR023828
GSBRNA2T00031209001	1.523932049	0.004739416	CDY09591	BnaC05g23280D	supercontig:AST_PRJEB5043_v1:LK031997:671909:681779:-1	BnaC05g23280D protein	AT1G30400	ABCC1	chromosome:TAIR10:1:10727317:10738092:1	MRP1	91.697	0	6752	1891	GO:0000166;GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0017111;GO:0055085	IPR001140;IPR003439;IPR003593;IPR011527;IPR017871;IPR017940
GSBRNA2T00031266001	1.056628806	0.033204825	CDY09623	BnaC07g34380D	supercontig:AST_PRJEB5043_v1:LK031998:74019:75841:1	Ubiquitin carboxyl-terminal hydrolase	AT4G17510	UCH3	chromosome:TAIR10:4:9766894:9768831:-1	Ubiquitin carboxyl-terminal hydrolase 3	88.26	0	843	NA	GO:0004221;GO:0005622;GO:0006511	IPR001578
GSBRNA2T00031277001	-1.090293687	0.001048193	CDY09632	BnaC07g34290D	supercontig:AST_PRJEB5043_v1:LK031998:118920:120594:1	Ribosomal protein L15	AT4G17390	RPL15B	chromosome:TAIR10:4:9714092:9715648:-1	60S ribosomal protein L15-2	91.622	0	776	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	IPR000439;IPR012678;IPR020925;IPR024794
GSBRNA2T00031281001	1.538794689	0.004009636	CDY09636	BnaC07g34250D	supercontig:AST_PRJEB5043_v1:LK031998:131443:132796:-1	L-lactate dehydrogenase	NA	NA	NA	NA	NA	NA	NA	NA	GO:0000166;GO:0003824;GO:0004459;GO:0005737;GO:0005975;GO:0006096;GO:0016491;GO:0044262;GO:0055114	IPR001236;IPR001557;IPR011304;IPR015955;IPR016040;IPR018177;IPR022383
GSBRNA2T00031283001	-2.82142439	0.007102885	CDY09638	BnaC07g34230D	supercontig:AST_PRJEB5043_v1:LK031998:138533:140861:1	BnaC07g34230D protein	AT4G17220	MAP70.5	chromosome:TAIR10:4:9656652:9659576:-1	Microtubule-associated protein 70-5	87.779	0	1402	NA	NA	IPR009768
GSBRNA2T00031288001	-1.339297848	0.014063108	CDY09642	BnaC07g34190D	supercontig:AST_PRJEB5043_v1:LK031998:151157:153802:1	BnaC07g34190D protein	AT4G17100	NA	chromosome:TAIR10:4:9610164:9611316:-1	CONTAINS InterPro DOMAIN/s: Endoribonuclease XendoU (InterPro:IPR018998); Has 943 Blast hits to 770 proteins in 162 species: Archae - 0; Bacteria - 61; Metazoa - 472; Fungi - 40; Plants - 78; Viruses - 35; Other Eukaryotes - 257 (source: NCBI BLink).	89.816	0	1181	NA	NA	IPR018998
GSBRNA2T00031310001	3.833955711	2.27e-16	CDY09659	BnaC07g34020D	supercontig:AST_PRJEB5043_v1:LK031998:280366:282216:1	BnaC07g34020D protein	AT4G17030	EXLB1	chromosome:TAIR10:4:9581562:9583290:-1	Expansin-like protein	89.186	0	933	NA	GO:0005576;GO:0019953	IPR005795;IPR007112;IPR007117;IPR007118;IPR009009;IPR014733
GSBRNA2T00031316001	3.366834452	0.000189888	CDY09664	BnaC07g33970D	supercontig:AST_PRJEB5043_v1:LK031998:302252:303784:-1	BnaC07g33970D protein	AT4G16820	PLA-I{beta]2	chromosome:TAIR10:4:9467512:9469425:1	Phospholipase A1-Ibeta2, chloroplastic	84.786	0	1149	NA	GO:0004806;GO:0006629	IPR002921
GSBRNA2T00031366001	-2.334724727	0.002755597	CDY09697	BnaC07g33640D	supercontig:AST_PRJEB5043_v1:LK031998:495138:495683:1	BnaC07g33640D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR008470
GSBRNA2T00031368001	2.3901117	1.64e-06	CDY09699	BnaC07g33620D	supercontig:AST_PRJEB5043_v1:LK031998:497527:499062:-1	BnaC07g33620D protein	AT4G16380	NA	chromosome:TAIR10:4:9254404:9256232:1	Heavy metal transport/detoxification superfamily protein	78.454	3.62e-127	455	NA	GO:0030001;GO:0046872	IPR006121
GSBRNA2T00031379001	-1.324766209	0.005299584	CDY09708	BnaC07g33530D	supercontig:AST_PRJEB5043_v1:LK031998:535339:540336:1	BnaC07g33530D protein	AT4G16180	NA	chromosome:TAIR10:4:9165201:9171064:-1	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; Has 25 Blast hits to 25 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 19; Viruses -  /.../er Eukaryotes - 6 (source: NCBI BLink).	93.607	0	2942	NA	NA	NA
GSBRNA2T00031427001	2.247360713	0.001675293	CDY09743	BnaC07g33180D	supercontig:AST_PRJEB5043_v1:LK031998:743935:745914:1	BnaC07g33180D protein	AT4G15760	MO1	chromosome:TAIR10:4:8972649:8974769:-1	monooxygenase 1	85.142	0	1219	NA	GO:0008152;GO:0016491	IPR002938;IPR003042
GSBRNA2T00031445001	2.64431099	0.000529322	CDY09750	BnaC07g33110D	supercontig:AST_PRJEB5043_v1:LK031998:810020:812319:-1	CASP-like protein	AT4G15610	NA	chromosome:TAIR10:4:8908763:8910945:1	CASP-like protein 1D1	83.477	5.84e-149	527	NA	NA	IPR006459;IPR006702
GSBRNA2T00031453001	3.79417959	9.73e-09	CDY09754	BnaC07g33070D	supercontig:AST_PRJEB5043_v1:LK031998:857664:860184:1	Glycosyltransferase	AT4G15550	UGT75D1	chromosome:TAIR10:4:8877590:8879327:-1	UDP-glycosyltransferase 75D1	84.182	0	695	NA	GO:0008152	IPR002213
GSBRNA2T00031454001	5.261864864	7.18e-09	CDY09755	BnaC07g33060D	supercontig:AST_PRJEB5043_v1:LK031998:861780:867539:1	Pyruvate, phosphate dikinase	AT4G15530	PPDK	chromosome:TAIR10:4:8864828:8870801:-1	Pyruvate, phosphate dikinase 1, chloroplastic	89.85	0	3681	NA	GO:0003824;GO:0005524;GO:0006090;GO:0016301;GO:0016310	IPR000121;IPR002192;IPR008279;IPR010121;IPR013815;IPR013816;IPR015813;IPR018274;IPR023151
GSBRNA2T00031457001	-2.910432618	0.002902462	CDY09758	BnaC07g33030D	supercontig:AST_PRJEB5043_v1:LK031998:870746:872218:1	Glycosyltransferase	AT4G15480	UGT84A1	chromosome:TAIR10:4:8848801:8850516:-1	Glycosyltransferase	85.477	0	1504	NA	GO:0008152	IPR002213
GSBRNA2T00031470001	1.234981454	0.010123144	CDY09770	BnaC09g43910D	supercontig:AST_PRJEB5043_v1:LK031999:1:1868:1	BnaC09g43910D protein	AT1G76540	CDKB2-1	chromosome:TAIR10:1:28720328:28722550:-1	CDKB2	86.842	2.49e-50	200	33	GO:0004672;GO:0005524;GO:0006468	IPR000719;IPR011009;IPR012416
GSBRNA2T00031471001	1.167163096	0.022083848	CDY09771	BnaC09g43900D	supercontig:AST_PRJEB5043_v1:LK031999:1978:3299:1	BnaAnng40820D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00031474001	2.181211142	0.000390384	CDY09773	BnaC09g43880D	supercontig:AST_PRJEB5043_v1:LK031999:21872:23482:-1	BnaC09g43880D protein	AT5G13190	NA	chromosome:TAIR10:5:4204085:4206475:-1	CONTAINS InterPro DOMAIN/s: LPS-induced tumor necrosis factor alpha factor (InterPro:IPR006629); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink).	89.877	1.85e-147	521	NA	NA	IPR006629
GSBRNA2T00031476001	3.267474722	5.88e-05	CDY09775	BnaC09g43860D	supercontig:AST_PRJEB5043_v1:LK031999:30375:32364:1	BnaC09g43860D protein	AT5G13220	JAZ10	chromosome:TAIR10:5:4218828:4220913:1	jasmonate-zim-domain protein 10	84.471	7.56e-163	573	NA	GO:0005515	IPR010399;IPR018467
GSBRNA2T00031489001	2.311855998	0.003599003	CDY09786	BnaC09g43750D	supercontig:AST_PRJEB5043_v1:LK031999:95101:97462:1	BnaC09g43750D protein	AT5G13320	PBS3	chromosome:TAIR10:5:4268532:4271064:1	Auxin-responsive GH3 family protein	84.527	0	1692	NA	NA	IPR004993
GSBRNA2T00031506001	1.171846387	0.000189932	CDY09794	BnaC09g43670D	supercontig:AST_PRJEB5043_v1:LK031999:152458:154985:-1	BnaC09g43670D protein	AT5G13420	NA	chromosome:TAIR10:5:4301792:4304315:-1	Aldolase-type TIM barrel family protein	89.478	0	1664	NA	GO:0003824;GO:0004801;GO:0005737;GO:0005975;GO:0006098	IPR001585;IPR004732;IPR013785;IPR018225
GSBRNA2T00031522001	-1.433744275	0.031740182	CDY09804	BnaC09g43570D	supercontig:AST_PRJEB5043_v1:LK031999:183587:184243:1	BnaC09g43570D protein	AT5G13510	RPL10	chromosome:TAIR10:5:4341262:4342095:1	50S ribosomal protein L10, chloroplastic	87.709	0	760	NA	GO:0005622;GO:0042254	IPR001790;IPR022973
GSBRNA2T00031564001	-4.028333671	0.005010162	CDY09832	BnaC09g43290D	supercontig:AST_PRJEB5043_v1:LK031999:405880:407125:-1	Xyloglucan endotransglucosylase/hydrolase	AT5G13870	XTH5	chromosome:TAIR10:5:4474922:4477090:-1	Xyloglucan endotransglucosylase/hydrolase	89.636	0	1118	1033.8	GO:0005618;GO:0005975;GO:0006073;GO:0016762;GO:0048046	IPR000757;IPR008263;IPR008985;IPR010713;IPR013320;IPR016455
GSBRNA2T00031597001	1.87070077	0.000238615	CDY09854	BnaC09g43070D	supercontig:AST_PRJEB5043_v1:LK031999:567572:570562:-1	BnaC09g43070D protein	AT5G14420	RGLG2	chromosome:TAIR10:5:4648105:4650821:-1	E3 ubiquitin-protein ligase RGLG2	86.816	0	1550	759	GO:0005515;GO:0008270	IPR001841;IPR002035;IPR010734;IPR013083
GSBRNA2T00031632001	2.042630911	0.049814942	CDY09878	BnaC09g42830D	supercontig:AST_PRJEB5043_v1:LK031999:772619:775265:-1	BnaC09g42830D protein	AT5G14700	NA	chromosome:TAIR10:5:4740238:4743539:-1	Cinnamoyl CoA reductase-like protein	86.847	0	1236	NA	GO:0000166;GO:0003824;GO:0044237;GO:0050662	IPR001509;IPR016040
GSBRNA2T00031635001	1.779707236	0.004379021	CDY09881	BnaC09g42800D	supercontig:AST_PRJEB5043_v1:LK031999:798202:798978:1	BnaC09g42800D protein	AT5G14730	NA	chromosome:TAIR10:5:4756057:4757744:1	At5g14730	74.747	1.17e-47	191	NA	NA	NA
GSBRNA2T00031639001	2.338230319	1.18e-05	CDY09883	BnaC09g42780D	supercontig:AST_PRJEB5043_v1:LK031999:838513:841486:1	L-aspartate oxidase	AT5G14760	AO	chromosome:TAIR10:5:4768263:4772153:1	L-aspartate oxidase, chloroplastic	87.359	0	2231	NA	GO:0005737;GO:0008734;GO:0009435;GO:0016491;GO:0055114	IPR003953;IPR005288;IPR015939
GSBRNA2T00031641001	2.481249909	2.02e-07	CDY09885	BnaC09g42760D	supercontig:AST_PRJEB5043_v1:LK031999:845360:847714:1	Formate dehydrogenase, mitochondrial	AT5G14780	FDH1	chromosome:TAIR10:5:4776733:4779526:1	Formate dehydrogenase, mitochondrial	86.679	0	1229	NA	GO:0000166;GO:0008152;GO:0048037;GO:0051287;GO:0055114	IPR006139;IPR006140;IPR016040
GSBRNA2T00031673001	1.25262294	0.007901451	CDY09910	BnaC08g45410D	supercontig:AST_PRJEB5043_v1:LK032000:33969:35830:-1	BnaC08g45410D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005515	IPR001810;IPR006553
GSBRNA2T00031705001	6.081061312	3.5e-08	CDY09936	BnaC08g45150D	supercontig:AST_PRJEB5043_v1:LK032000:154371:154757:1	BnaC08g45150D protein	AT1G07135	NA	chromosome:TAIR10:1:2189877:2190784:-1	At1g07135	80.788	7.42e-37	154	NA	NA	NA
GSBRNA2T00031707001	-2.587357137	0.001152424	CDY09938	BnaC08g45130D	supercontig:AST_PRJEB5043_v1:LK032000:165636:171197:1	BnaC08g45130D protein	AT1G07110	FKFBP	chromosome:TAIR10:1:2178022:2184193:-1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase	89.471	0	2828	NA	GO:0003824;GO:0003873;GO:0005524;GO:0006000;GO:0008152;GO:0030246;GO:2001070	IPR001345;IPR002044;IPR003094;IPR013078;IPR013079;IPR013783;IPR013784;IPR016260
GSBRNA2T00031734001	-2.834558881	0.002608483	CDY09962	BnaC08g44890D	supercontig:AST_PRJEB5043_v1:LK032000:253108:254729:-1	BnaC08g44890D protein	AT1G06680	PSBP1	chromosome:TAIR10:1:2047634:2049439:1	Oxygen-evolving enhancer protein 2-1, chloroplastic	89.52	0	1000	NA	GO:0005509;GO:0009523;GO:0009654;GO:0015979;GO:0019898	IPR002683;IPR016123
GSBRNA2T00031741001	2.875431216	2.84e-06	CDY09969	BnaC08g44820D	supercontig:AST_PRJEB5043_v1:LK032000:276075:277576:1	4-hydroxyphenylpyruvate dioxygenase	AT1G06570	HPD	chromosome:TAIR10:1:2012015:2013459:-1	4-hydroxyphenylpyruvate dioxygenase	83.271	0	1216	NA	GO:0003868;GO:0009072;GO:0055114	IPR004360;IPR005956
GSBRNA2T00031755001	1.132325709	0.028828818	CDY09980	BnaC08g44710D	supercontig:AST_PRJEB5043_v1:LK032000:320414:322455:1	BnaC08g44710D protein	AT1G02170	AMC1	chromosome:TAIR10:1:411664:413554:1	MCP1b	87.158	0	1230	NA	GO:0004197;GO:0006508	IPR005735;IPR011600
GSBRNA2T00031761001	5.605910092	1.69e-05	CDY09984	BnaC08g44670D	supercontig:AST_PRJEB5043_v1:LK032000:353997:354683:-1	BnaC08g44670D protein	AT1G06160	ERF094	chromosome:TAIR10:1:1882907:1883992:1	ORA59	82.298	4.33e-121	435	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00031771001	-1.497220834	0.018386728	CDY09992	BnaC08g44590D	supercontig:AST_PRJEB5043_v1:LK032000:396259:398201:1	BnaC08g44590D protein	AT1G06040	BBX24	chromosome:TAIR10:1:1828413:1829890:-1	B-box zinc finger protein 24	89.326	5.74e-125	448	242	GO:0005622;GO:0008270	IPR000315
GSBRNA2T00031807001	3.512080002	0.006995244	CDY10024	BnaC08g44270D	supercontig:AST_PRJEB5043_v1:LK032000:511927:512610:1	BnaC08g44270D protein	AT1G05420	ATOFP12	chromosome:TAIR10:1:1590038:1590998:1	ovate family protein 12	81.897	4.1e-156	551	485.2	NA	IPR006458
GSBRNA2T00031815001	-2.78135829	0.035624276	CDY10030	BnaC08g44210D	supercontig:AST_PRJEB5043_v1:LK032000:533140:535873:-1	BnaC08g44210D protein	AT1G05320	NA	chromosome:TAIR10:1:1553603:1557733:1	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: fruit, egg cell; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053); BEST Arabidopsis thaliana protein m /.../s: unknown protein (TAIR:AT2G32240.1); Has 267650 Blast hits to 119772 proteins in 3899 species: Archae - 3706; Bacteria - 62589; Metazoa - 106546; Fungi - 19914; Plants - 13918; Viruses - 1287; Other Eukaryotes - 59690 (source: NCBI BLink).	79.282	0	640	NA	NA	NA
GSBRNA2T00031830001	-2.845506313	0.003388732	CDY10042	BnaC08g44090D	supercontig:AST_PRJEB5043_v1:LK032000:595568:596139:-1	BnaC08g44090D protein	AT1G05260	PER3	chromosome:TAIR10:1:1529767:1531484:1	Peroxidase	89.136	2.95e-141	501	NA	GO:0004601;GO:0006979;GO:0020037;GO:0055114	IPR000823;IPR002016;IPR010255
GSBRNA2T00031866001	-3.049535359	4.84e-05	CDY10069	BnaC08g43820D	supercontig:AST_PRJEB5043_v1:LK032000:808583:809641:1	Auxin-responsive protein	AT1G04240	SHY2	chromosome:TAIR10:1:1128149:1129689:-1	AUX/IAA transcriptional regulator family protein	88.441	0	673	336	GO:0005634;GO:0046983	IPR003311;IPR011525
GSBRNA2T00031882001	-1.442454478	0.029040817	CDY10082	BnaC08g43690D	supercontig:AST_PRJEB5043_v1:LK032000:866532:867997:1	BnaC08g43690D protein	AT1G04040	NA	chromosome:TAIR10:1:1042362:1043887:-1	At1g04040/F21M11_2	88.537	0	989	468	GO:0003993	IPR005519;IPR010028;IPR014403;IPR023214
GSBRNA2T00031902001	3.779426288	2.42e-10	CDY10100	BnaC05g03430D	supercontig:AST_PRJEB5043_v1:LK032001:9941:10848:-1	BnaC05g03430D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00031914001	5.010913582	0.011406646	CDY10111	BnaC05g03540D	supercontig:AST_PRJEB5043_v1:LK032001:70373:71498:1	BnaC05g03540D protein	AT1G05450	NA	chromosome:TAIR10:1:1599876:1601214:1	Protease inhibitor	81.469	1.04e-131	470	NA	NA	IPR016140
GSBRNA2T00031928001	2.469505851	0.052950645	CDY10122	BnaC05g03650D	supercontig:AST_PRJEB5043_v1:LK032001:127087:130828:1	BnaC05g03650D protein	AT1G05540	NA	chromosome:TAIR10:1:1639223:1640879:1	T25N20.19	82.814	0	939	353	NA	IPR005174
GSBRNA2T00031931001	6.603415606	2.82e-11	CDY10124	BnaC05g03670D	supercontig:AST_PRJEB5043_v1:LK032001:135262:136683:-1	Glycosyltransferase	AT1G05560	UGT1	chromosome:TAIR10:1:1645308:1647147:-1	UDP-glucosyltransferase 75B1	81.457	0	1081	168	GO:0008152	IPR002213
GSBRNA2T00031970001	-1.348248187	0.000523443	CDY10156	BnaC05g03990D	supercontig:AST_PRJEB5043_v1:LK032001:310406:312598:-1	BnaC05g03990D protein	AT1G05850	CTL1	chromosome:TAIR10:1:1766503:1768837:-1	POM1	87.992	0	1142	NA	GO:0004568;GO:0005975;GO:0006032;GO:0016998	IPR000726;IPR016283;IPR023346
GSBRNA2T00032011001	0.767171258	0.049389415	CDY10192	BnaC05g04350D	supercontig:AST_PRJEB5043_v1:LK032001:479026:482770:1	Acyl-coenzyme A oxidase	AT1G06290	ACX3	chromosome:TAIR10:1:1922208:1926278:1	Acyl-coenzyme A oxidase	88.059	0	2405	205	GO:0003995;GO:0003997;GO:0005777;GO:0006631;GO:0006635;GO:0008152;GO:0050660;GO:0055114	IPR002655;IPR006090;IPR006091;IPR009075;IPR009100;IPR012258
GSBRNA2T00032019001	-4.452041315	0.001282634	CDY10200	BnaC05g04430D	supercontig:AST_PRJEB5043_v1:LK032001:518548:520998:-1	BnaC05g04430D protein	AT1G06460	ACD32.1	chromosome:TAIR10:1:1967087:1969656:-1	Alpha-crystallin domain 32.1	80.743	0	651	NA	NA	IPR002068;IPR008978
GSBRNA2T00032032001	5.823342809	7.6e-14	CDY10210	BnaC05g04530D	supercontig:AST_PRJEB5043_v1:LK032001:584237:586241:-1	4-hydroxyphenylpyruvate dioxygenase	AT1G06570	HPD	chromosome:TAIR10:1:2012015:2013459:-1	4-hydroxyphenylpyruvate dioxygenase	82.999	0	1203	NA	GO:0003868;GO:0009072;GO:0055114	IPR004360;IPR005956
GSBRNA2T00032038001	-2.016557281	4.5e-05	CDY10216	BnaC05g04590D	supercontig:AST_PRJEB5043_v1:LK032001:611870:613318:1	BnaC05g04590D protein	AT1G06680	PSBP1	chromosome:TAIR10:1:2047634:2049439:1	Oxygen-evolving enhancer protein 2-1, chloroplastic	91.551	0	1092	NA	GO:0005509;GO:0009523;GO:0009654;GO:0015979;GO:0019898	IPR002683;IPR016123
GSBRNA2T00032050001	3.108759812	9.01e-05	CDY10228	BnaC05g04710D	supercontig:AST_PRJEB5043_v1:LK032001:649354:651770:-1	BnaC05g04710D protein	AT1G06800	PLA-I{gamma}1	chromosome:TAIR10:1:2089417:2091686:-1	PLA-I(gamma)1	86.69	0	1554	637	GO:0004806;GO:0006629	IPR002921
GSBRNA2T00032052001	1.681185862	0.002595229	CDY10230	BnaC05g04730D	supercontig:AST_PRJEB5043_v1:LK032001:659076:665047:-1	BnaC05g04730D protein	AT1G06840	NA	chromosome:TAIR10:1:2097747:2103507:-1	Probable LRR receptor-like serine/threonine-protein kinase At1g06840	87.075	0	3212	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468	IPR000719;IPR001245;IPR002290;IPR008271;IPR011009;IPR013210;IPR013320;IPR017441;IPR020635
